node_element_id,url
"SourceURL|https://www.nhmrc.gov.au/research-policy/ethics/national-statement-ethical-conduct-human-research,","https://www.nhmrc.gov.au/research-policy/ethics/national-statement-ethical-conduct-human-research,"
SourceURL|https://aiatsis.gov.au/about/connect-us/contact-us,https://aiatsis.gov.au/about/connect-us/contact-us
"SourceURL|https://aiatsis.gov.au/collection/using-collection/accessing-items-collection,","https://aiatsis.gov.au/collection/using-collection/accessing-items-collection,"
"SourceURL|https://aiatsis.gov.au/form/request-collection-access,","https://aiatsis.gov.au/form/request-collection-access,"
"SourceURL|https://aiatsis.gov.au/research/ethical-research,","https://aiatsis.gov.au/research/ethical-research,"
"SourceURL|https://aiatsis.gov.au/sites/default/files/2020-10/aiatsis-code-ethics.pdf,","https://aiatsis.gov.au/sites/default/files/2020-10/aiatsis-code-ethics.pdf,"
"SourceURL|https://aiatsis.gov.au/sites/default/files/2020-10/aiatsis-guide-applying-code-ethics.pdf,","https://aiatsis.gov.au/sites/default/files/2020-10/aiatsis-guide-applying-code-ethics.pdf,"
"SourceURL|https://engage.dss.gov.au/wp-content/uploads/2025/12/NACCHO-Redacted.pdf,","https://engage.dss.gov.au/wp-content/uploads/2025/12/NACCHO-Redacted.pdf,"
SourceURL|https://pmc.ncbi.nlm.nih.gov/articles/PMC12102749/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12102749/
"SourceURL|https://pmc.ncbi.nlm.nih.gov/articles/PMC7716440/,","https://pmc.ncbi.nlm.nih.gov/articles/PMC7716440/,"
"SourceURL|https://pmc.ncbi.nlm.nih.gov/articles/PMC8355598/,","https://pmc.ncbi.nlm.nih.gov/articles/PMC8355598/,"
"SourceURL|https://sahmri.blob.core.windows.net/communications/CREATE-Policy-Briefs-All.pdf,","https://sahmri.blob.core.windows.net/communications/CREATE-Policy-Briefs-All.pdf,"
"SourceURL|https://thephn.com.au/what-we-do/digital-health/health-e-together-for-accho,","https://thephn.com.au/what-we-do/digital-health/health-e-together-for-accho,"
"SourceURL|https://www.aph.gov.au/DocumentStore.ashx?id=a10d9ecd-6346-42c3-aec6-bb0219df0efa&subId=704106,","https://www.aph.gov.au/DocumentStore.ashx?id=a10d9ecd-6346-42c3-aec6-bb0219df0efa&subId=704106,"
"SourceURL|https://www.health.vic.gov.au/aboriginal-health/strengthening-lifelong-aboriginal-health-and-wellbeing-of-aboriginal-victorians,","https://www.health.vic.gov.au/aboriginal-health/strengthening-lifelong-aboriginal-health-and-wellbeing-of-aboriginal-victorians,"
"SourceURL|https://www.health.wa.gov.au/About-us/Policy-frameworks/Information-Management/Mandatory-requirements/Governance/Aboriginal-Data-Governance-Policy,","https://www.health.wa.gov.au/About-us/Policy-frameworks/Information-Management/Mandatory-requirements/Governance/Aboriginal-Data-Governance-Policy,"
"SourceURL|https://www.lowitja.org.au/wp-content/uploads/2023/10/328550_data-governance-and-sovereignty.pdf,","https://www.lowitja.org.au/wp-content/uploads/2023/10/328550_data-governance-and-sovereignty.pdf,"
"SourceURL|https://www.naccho.org.au/aboriginal-community-controlled-health/,","https://www.naccho.org.au/aboriginal-community-controlled-health/,"
"SourceURL|https://www.naccho.org.au/governance/,","https://www.naccho.org.au/governance/,"
"SourceURL|https://www.naccho.org/uploads/full-width-images/25-01-Data-Strategy.pdf,","https://www.naccho.org/uploads/full-width-images/25-01-Data-Strategy.pdf,"
"SourceURL|https://www.niaa.gov.au/resource-centre/framework-governance-indigenous-data,","https://www.niaa.gov.au/resource-centre/framework-governance-indigenous-data,"
"SourceURL|https://www.sciencedirect.com/science/article/pii/S1326020023007458,","https://www.sciencedirect.com/science/article/pii/S1326020023007458,"
SourceURL|https://www.australiangenomics.org.au/publications/framework-for-australian-clinical-quality-registries-second-edition/,https://www.australiangenomics.org.au/publications/framework-for-australian-clinical-quality-registries-second-edition/
"SourceURL|https://www.health.gov.au/our-work/national-clinical-quality-registry-program,","https://www.health.gov.au/our-work/national-clinical-quality-registry-program,"
"SourceURL|https://www.nhmrc.gov.au/about-us/publications/national-statement-ethical-conduct-human-research-2023,","https://www.nhmrc.gov.au/about-us/publications/national-statement-ethical-conduct-human-research-2023,"
"SourceURL|https://www.safetyandquality.gov.au/our-work/indicators-measurement-and-reporting/national-guidance-clinical-quality-registries,","https://www.safetyandquality.gov.au/our-work/indicators-measurement-and-reporting/national-guidance-clinical-quality-registries,"
"SourceURL|https://www.safetyandquality.gov.au/publications-and-resources/resource-library/acsqhc-data-governance-framework,","https://www.safetyandquality.gov.au/publications-and-resources/resource-library/acsqhc-data-governance-framework,"
"SourceURL|https://www.safetyandquality.gov.au/sites/default/files/2021-06/acsqhc_-_data_governance_framework_-_dec_2016.pdf,","https://www.safetyandquality.gov.au/sites/default/files/2021-06/acsqhc_-_data_governance_framework_-_dec_2016.pdf,"
"SourceURL|https://ardc.edu.au/services/health-data-australia/,","https://ardc.edu.au/services/health-data-australia/,"
SourceURL|https://documentation.ardc.edu.au/hda/how-to-request-access-to-a-health-dataset,https://documentation.ardc.edu.au/hda/how-to-request-access-to-a-health-dataset
"SourceURL|https://www.health.gov.au/topics/hospital-care/our-role/phdb-data?language=en,","https://www.health.gov.au/topics/hospital-care/our-role/phdb-data?language=en,"
